# Lines starting with '#''' are comments. Comment lines must form a continuous        
# block at the beginning of this file.             
# The last comment line is not really a comment. It must contain the names of     
# the variables that are used in the code.            
# The data has to start in the following line.           
#                   
# List of variables:
# 
# CELL       : Cell number (1: Central Basin, 2: Eastern Basin)                                          
# TS	     : timestep
# tair2	     : temperature of lower air [K]
# tupperocean: temperature of upper ocean [K]
# tlowerocean: temperature of lower ocean [K]
# tsed	     : temperature sediment surface [K]
# h1	     : Average upper ocean compartment depth [m]
# h	     : Average total ocean compartment depth [m]
# perc8	     : percentage of ocean covered by Sea Ice [-]
# Gup	     : water outflow rate from the upper ocean compartment [m3/h]
# Glow	     : water outflow rate from the lower ocean compartment [m3/h]
#                    
#CELL TS tair2 tupperocean tlowerocean tsed h1 h perc8 Gup Glow
1 1 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 2 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 3 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 4 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 5 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 6 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 7 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 8 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 9 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 10 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 11 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
1 12 288 288.75 288.15 288.15 17 70.59 0 4176000 5979600
2 1 288 288.75 288.15 288.15 12 19.32 0 0 0
2 2 288 288.75 288.15 288.15 12 19.32 0 0 0
2 3 288 288.75 288.15 288.15 12 19.32 0 0 0
2 4 288 288.75 288.15 288.15 12 19.32 0 0 0
2 5 288 288.75 288.15 288.15 12 19.32 0 0 0
2 6 288 288.75 288.15 288.15 12 19.32 0 0 0
2 7 288 288.75 288.15 288.15 12 19.32 0 0 0
2 8 288 288.75 288.15 288.15 12 19.32 0 0 0
2 9 288 288.75 288.15 288.15 12 19.32 0 0 0
2 10 288 288.75 288.15 288.15 12 19.32 0 0 0
2 11 288 288.75 288.15 288.15 12 19.32 0 0 0
2 12 288 288.75 288.15 288.15 12 19.32 0 0 0
