month,Central Basin,Eastern Basin
1,310183.0476742377,80282.67116274388
2,310183.0476742377,80282.67116274388
3,310183.0476742377,80282.67116274388
4,310183.0476742377,80282.67116274388
5,192954.44936659292,49941.151600765224
6,192954.44936659292,49941.151600765224
7,192954.44936659292,49941.151600765224
8,192954.44936659292,49941.151600765224
9,192954.44936659292,49941.151600765224
10,192954.44936659292,49941.151600765224
11,310183.0476742377,80282.67116274388
12,310183.0476742377,80282.67116274388
