month,Central Basin,Eastern Basin
1,708567.4828581982,183393.93673976895
2,708567.4828581982,183393.93673976895
3,708567.4828581982,183393.93673976895
4,708567.4828581982,183393.93673976895
5,607619.9097787791,157266.32958980167
6,607619.9097787791,157266.32958980167
7,607619.9097787791,157266.32958980167
8,607619.9097787791,157266.32958980167
9,607619.9097787791,157266.32958980167
10,607619.9097787791,157266.32958980167
11,708567.4828581982,183393.93673976895
12,708567.4828581982,183393.93673976895
