month,Central Basin,Eastern Basin
1,614920.4467047325,159155.88032357782
2,614920.4467047325,159155.88032357782
3,614920.4467047325,159155.88032357782
4,614920.4467047325,159155.88032357782
5,505886.9392502294,130935.44310005938
6,505886.9392502294,130935.44310005938
7,505886.9392502294,130935.44310005938
8,505886.9392502294,130935.44310005938
9,505886.9392502294,130935.44310005938
10,505886.9392502294,130935.44310005938
11,614920.4467047325,159155.88032357782
12,614920.4467047325,159155.88032357782
