month,Central Basin,Eastern Basin
1,203706.05627221282,52723.92044692567
2,203706.05627221282,52723.92044692567
3,203706.05627221282,52723.92044692567
4,203706.05627221282,52723.92044692567
5,101140.88661861604,26177.64124246533
6,101140.88661861604,26177.64124246533
7,101140.88661861604,26177.64124246533
8,101140.88661861604,26177.64124246533
9,101140.88661861604,26177.64124246533
10,101140.88661861604,26177.64124246533
11,203706.05627221282,52723.92044692567
12,203706.05627221282,52723.92044692567
