month,Central Basin,Eastern Basin
1,682330.9690807405,176603.30964442695
2,682330.9690807405,176603.30964442695
3,682330.9690807405,176603.30964442695
4,682330.9690807405,176603.30964442695
5,573298.7272821142,148383.20000242957
6,573298.7272821142,148383.20000242957
7,573298.7272821142,148383.20000242957
8,573298.7272821142,148383.20000242957
9,573298.7272821142,148383.20000242957
10,573298.7272821142,148383.20000242957
11,682330.9690807405,176603.30964442695
12,682330.9690807405,176603.30964442695
